,hash,ndim-0,ndim-1,ndim-2
0,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,1.2913003641491134e-05,1.5808330061915504e-05,1.8098105841393892e-05
1,ce140e8d5c28f1f057db1102cf78263e48f86d61,1.2551180113580797e-05,1.5138822766077082e-05,1.7178515092440188e-05
2,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,1.0879186996293906e-05,1.4927967183177619e-05,1.673213442931025e-05
3,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,1.2585716205101885e-05,1.5000072235227164e-05,1.702099002913428e-05
4,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,1.0897532681933584e-05,1.3362302821412709e-05,1.5188326138837241e-05
5,71555c48be7f07833bd540dacb50deb8069b551f,1.2437456247095146e-05,1.4944776801832512e-05,1.6716138156706765e-05
6,5324067c702a41e901354a01a5f0d05ff49b6cb4,1.2570732110099303e-05,1.53454944270246e-05,1.6832781493378454e-05
7,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,1.264314204122494e-05,1.5151275605858388e-05,1.6771345643416767e-05
8,45ee22fa2fdd2bace756ed62685a346da91c4cb2,1.2638468684692351e-05,1.515080210821169e-05,1.6916971261430856e-05
9,798aee26bdb9dcc0e806ca9271f0f98297188dec,1.1574965496938043e-05,1.378135494657688e-05,1.5545657287925633e-05
10,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,1.2755870314625403e-05,1.5033544944488814e-05,1.6858660309979336e-05
11,fca7a15f30776ebce9e6814eb927e837f567a518,1.2885909380150629e-05,1.5214561434767844e-05,1.6997431102316917e-05
12,26311ed7bf80e02c827189e80084602d72e4f284,1.2815647307683175e-05,1.5441556366557314e-05,1.687110032981137e-05
13,b5e01bcb668da0413170a886c258e00d2540e752,1.1454550516039794e-05,1.3874890631097135e-05,1.562978824496364e-05
14,ab30683fe1277a7fd471be63975a02ed8d766f94,1.1392104162832692e-05,1.3558088293469759e-05,1.613350000143074e-05
15,3c89e2f913406f55b6e998017c1149e3ba383bcc,1.144996568437178e-05,2.0767743116333628e-05,1.614028823794085e-05
16,590f07121dc55e6d9d9ce514887c9bbc253fb266,1.5369722542697868e-05,1.7155764897986828e-05,1.816223746354078e-05
17,872372bd56ccb5fe98faae8be7d14e4a8c69e037,1.1812486513010442e-05,1.4311922388060926e-05,1.6185730368036915e-05
18,70a84c3192b4f231925e8e36f50d6a26bff3b46d,1.1511057183400656e-05,1.4115682570263744e-05,1.5920200129276822e-05
19,9d416356baf4a653b2c647a921ae24ba7d39e8df,1.1842534707886275e-05,2.2373578905658813e-05,1.65785931120359e-05
20,09dd75e9e2139bc9742e6009b7babe41d4c002df,1.7175075403828036e-05,2.0014415889154883e-05,2.2302069953287538e-05
21,85d64e375f53f6028519d3aaad0b421934dcbe24,1.1653857065164785e-05,1.4391829164297733e-05,1.622432380345235e-05
22,09e04dcbe3d0c836437b2d4745b353b256ec6265,1.143967168385167e-05,1.401758354519718e-05,1.57427496441815e-05
23,cdd7ab252988ff4254705e0a89874edeb5cea8eb,1.1119562573094395e-05,1.391305373368256e-05,1.5956829152188465e-05
24,06da877ceae914a875bd1a55cd8e271332358803,1.1349281958621188e-05,1.3527155926861481e-05,1.5375711549466166e-05
25,8529dfaaec65248420faffe095bac03c23881735,1.14290862025006e-05,1.4199851494948058e-05,1.5925924440293955e-05
26,171a3e5811e43643788c20075be9ba52efb83b81,1.1622387234076976e-05,1.4503184521494423e-05,1.6364765580458906e-05
27,5bf9ab98edd254dee1162d6f1863053e040cf828,1.0712324251242057e-05,1.3359268567649333e-05,1.549220268711932e-05
28,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,1.2683484789976565e-05,1.5274422967636403e-05,1.7195162220112103e-05
29,37a1ad069a800f5ef98286f25fb3fb632375168d,1.1404987887206542e-05,1.384506653271337e-05,1.5598983464905747e-05
30,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,1.1921506143153238e-05,1.4389488769017278e-05,1.628570777961987e-05
31,044f5131450f38cdfbab63d6999b60e7e3bbabe5,1.1078039806893833e-05,1.3568015846291601e-05,1.5427717217868154e-05
32,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,1.146625130985065e-05,1.3892759310924993e-05,1.5856014000757387e-05
33,53adf81bc503d749b13160a27e49160c5bbe48d7,1.179735135362559e-05,1.4173247371867464e-05,1.6005080772985417e-05
34,49e00940a82f9590d774539cd188b634c29fc39f,1.1644301378248077e-05,1.4203974497303394e-05,1.5993853626043902e-05
35,7b9b41a4c7dbd7b719d62f343f57f841f5809693,1.1714477105913198e-05,1.4308951860468058e-05,1.6391803582046722e-05
36,ae88e02a48c4744afd22c63be388870037f3c84c,1.1525016022461446e-05,1.4101857316331905e-05,1.5729288262424664e-05
37,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,1.1252132472438143e-05,1.3668062418266741e-05,1.5417042374176015e-05
38,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,1.1264798633831043e-05,1.3792158066505046e-05,1.5785026313649893e-05
39,a5e5e51187d4476841503ce816924ea99936dba0,1.335244651182163e-05,1.643957918459656e-05,1.8286865248475066e-05
40,b69cf68a24cffea0a884a102da1797755de8f022,1.2374332004660692e-05,1.4669236377178506e-05,1.6515486485722637e-05
41,ee3e17a7c3e3efdeafe907b394de56aed01a70e0,1.763762576508387e-05,2.130535386566293e-05,2.4163817909544176e-05
42,c71ce0e6dbd9ec67b3ac7fb5ac3eb609f8a56829,1.070464371108476e-05,1.3579192108886131e-05,1.5319441042717118e-05
43,0ce156413feb21a4f2a8eae3b1cd954d04240edd,1.0818235958660287e-05,1.314668045668166e-05,1.5049813281894511e-05
44,7e3fd81c039b0e22715c4e6eb63439bdf5a620bf,1.3104510056502434e-05,1.356704680724664e-05,1.668807164652464e-05
45,a6b4b2bdd6baf2afde27284097426e93912452e9,1.3716905524251259e-05,1.692454749920055e-05,1.921175466934152e-05
46,c8a5ff07e5bda47eab870671634b107da5ab7934,1.1903813379060129e-05,1.5373805405777766e-05,1.711245925007198e-05
47,fafd123410f1ad5c47341c66d8ea4cf541165e77,1.0712018170875622e-05,1.2998108936049642e-05,1.4972517107375777e-05
48,9765987c2ade250c82bfeaba49d1f9301211d63a,1.7659404834229197e-05,2.4816747248546935e-05,2.659352113500316e-05
49,dbf37449935bced333a3999afa860aaf304ab1a1,1.9175298737352782e-05,2.060797569604232e-05,2.2733956658459577e-05
50,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,1.8683371054490536e-05,2.104941346400525e-05,2.3259450413801466e-05
51,70f4309a155808d3a60a9a71db2d9482c1ec3ad7,2.4928720749226712e-05,2.7740063508983278e-05,3.061566617931769e-05
52,bb6b86e2afe88b371badfcefe298945002e47006,1.7652109560585095e-05,2.1201928989515105e-05,2.2868673947111045e-05
53,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,1.7886317653988465e-05,2.2164946585689904e-05,3.1584216972058106e-05
54,e0ffe3572b37190d9da5b1d07057e4e038bd3197,2.3186278502809354e-05,2.636612393521668e-05,2.9090960553832127e-05
55,cfb6a4d88d88307d507a86d1d70cd7d84c611406,1.7851716880353964e-05,2.01185261159464e-05,2.2083328413653977e-05
56,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,2.0291453899530123e-05,2.277257027213088e-05,2.4254067986412177e-05
57,bec2b07db5c999721d2d2c10334f3afe78aaadd9,2.1579084942287238e-05,2.4175741824535513e-05,2.9986955714330623e-05
58,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,2.0635781447239913e-05,2.343340908879488e-05,2.5325476049571073e-05
59,cb557b79fa0ce467c881830f8e8e042c484ccfaa,2.9345677489412428e-05,3.3345129586327495e-05,3.592489404443479e-05
60,badbf70324274bdb4299d8c64d3d83a26be2d4c0,1.9153421095028317e-05,2.138088439455948e-05,2.324342463934703e-05
61,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,1.9709915643983077e-05,2.2212336974280514e-05,2.430925504236755e-05
62,3c91a3e1704c8aa7f1258aa30892040df9d952f4,2.031887385781518e-05,2.34172270969187e-05,2.4755826301079137e-05
63,fe3d717080e812383900507168a6bd7093c4e434,2.076631791692128e-05,2.2873244056987052e-05,2.4887912023536232e-05
64,0cb9f7f7aa8f4255fafb5431dcc595ce183bc376,2.280434238479428e-05,2.5201110857163555e-05,2.702241088645498e-05
65,e69faef03428b82f5651a5fb521610ddea2bd22a,3.93387126560019e-05,4.087787359666432e-05,4.4699863085245146e-05
66,092905febd53742d2a700322f88b652d6a5fd4fb,2.447168171825203e-05,2.6754320296430436e-05,2.8632810198079006e-05
67,6cd4b015dfd512fb4bc9d2e06a0f0cef4503582b,2.064697190952201e-05,2.381578317997396e-05,2.5729793059117194e-05
68,3544fae2859d8ecac378b9ddc8f909c69455a831,3.2172629425054574e-05,3.870620163909804e-05,4.011288889019316e-05
69,05fcb6544f72ea173011a77cee14d72979ffe293,2.0258883865505164e-05,2.2994048630901915e-05,2.4994833736664964e-05
70,f4ef0fd5d97afc7788c46eb51889e90623f5577e,3.6596294363468754e-05,4.0970075361889285e-05,4.394415406529112e-05
71,5cc7ef066fca7a821a2160b095578384c301ae3c,2.296049625032681e-05,2.6592651445006072e-05,2.8757825114679702e-05
72,c6d2aae8a92371bc9f7ddda990176fb014adb0d7,2.3210975531912212e-05,2.601747016249078e-05,2.9241502631957987e-05
73,e3b831cd85e2f4d73b0db8e8d501828b50a96c64,1.9899868322152584e-05,2.242233537831239e-05,2.430922819294454e-05
74,b3a7a69a198a8385735584b88408c91a1eef5a4b,2.1468586959898788e-05,2.3780813704702725e-05,2.6120859484471255e-05
75,bc6a6084f6e49bd78c12508131395304a63cc6ca,2.4646157176939237e-05,2.779186683594034e-05,3.044940993231931e-05
76,c0d36c88b8b525f5869eefd893d1d77ffe41903e,3.9263311576349594e-05,2.29252611631488e-05,2.4494102412151655e-05
77,bcdfd208a9b99036cc6e379180c3242b08dedc47,2.0672390331093637e-05,2.5065643146186903e-05,2.6886205923530936e-05
78,49c560c22f137907ea6a240591e49b004f28444b,2.3240929028840478e-05,2.642506501669324e-05,2.7965038638866806e-05
79,45fb3a28100d509b695f432cf100f36f0e4c2f9f,1.9829585624851404e-05,2.2094205278113893e-05,2.3959147242399363e-05
80,273b7fe0a94ae3a8ac96f4b34a396a8d3584c210,3.158414914908447e-05,3.5535222476364694e-05,2.495049073247152e-05
81,8840d950e0eedf2eadb96d9867d8f8341e51aaac,1.9562505416536663e-05,2.2292978707162578e-05,2.45867029377291e-05
82,9d9cc5ca473d52eeda693a254fc0a1cbd4f4f1c4,3.509763191686944e-05,4.019096268782929e-05,3.960525695942597e-05
